"","score","isHighRisk"
"GSM50986",0.638748284405326,0
"GSM50987",-0.436101127510297,0
"GSM50988",-0.745009312467167,0
"GSM50989",-0.682838635775418,0
"GSM50990",0.732765881238895,0
"GSM50991",-0.102900703852128,0
"GSM50992",0.213922726156507,0
"GSM50993",0.0608867855010441,0
"GSM50994",1.17559888283255,1
"GSM50995",-0.908690686357632,0
"GSM50996",-0.0860409417486395,0
"GSM50997",1.35312383773309,1
"GSM50998",-0.481779997731694,0
"GSM50999",0.899644547514126,1
"GSM51000",0.0678302921402424,0
"GSM51001",1.70755667013248,1
"GSM51002",2.04725612367427,1
"GSM51003",-0.749441173017492,0
"GSM51004",-0.42009709978162,0
"GSM51005",-0.271725218504044,0
"GSM51006",1.37499541948435,1
"GSM51007",0.985463645991312,1
"GSM51008",0.993673081827989,1
"GSM51009",-1.3828134103001,0
"GSM51010",0.392415902503897,0
"GSM51011",0.0921792836733256,0
"GSM51012",-1.57788812220392,0
"GSM51013",-1.27578557248963,0
"GSM51014",-1.02175572910871,0
"GSM51015",0.67006500380799,0
"GSM51016",0.250454800664114,0
"GSM51017",-0.868975029742595,0
"GSM51018",-0.444939110808831,0
"GSM51019",1.3398012553198,1
"GSM51020",0.324506117098079,0
"GSM51021",-1.71098289374007,0
"GSM51022",0.0594914418902602,0
"GSM51023",1.4048727627563,1
"GSM51024",-0.210376699500532,0
"GSM51025",-0.0582375448802646,0
"GSM51026",1.18674059104765,1
"GSM51027",-0.263598016642786,0
"GSM51028",-0.222387425176057,0
"GSM51029",-0.416214719993964,0
"GSM51030",0.158235320314852,0
"GSM51031",0.292813612131841,0
"GSM51032",0.24249943796723,0
"GSM51033",-0.907485735213449,0
"GSM51034",0.394703831008036,0
"GSM51035",1.46186273085543,1
"GSM51036",0.890029657603734,1
"GSM51037",-0.683492478482092,0
"GSM51038",0.0493629056682207,0
"GSM51039",0.654154742700675,0
"GSM51040",0.56532456403571,0
"GSM51041",0.156990559761273,0
"GSM51042",0.372622154254079,0
"GSM51043",0.53898022108098,0
"GSM51044",-0.334027902979562,0
"GSM51045",1.97497091403438,1
"GSM51046",-0.0102204422370043,0
"GSM51047",-0.356539970719873,0
"GSM51048",-0.0220073627828822,0
"GSM51049",1.15381429617171,1
"GSM51050",-0.89671780168808,0
"GSM51051",0.596293752679835,0
"GSM51052",1.29124394696136,1
"GSM51053",-0.826242199448803,0
"GSM51054",0.747550847897396,0
"GSM51055",-0.101571388538752,0
"GSM51056",1.17244792169631,1
"GSM51057",1.38215568959969,1
"GSM51058",-0.165337433510972,0
"GSM51059",0.0840847923128129,0
"GSM51060",0.0892896554662304,0
"GSM51061",0.723245628911052,0
"GSM51062",-1.3861210997482,0
"GSM51063",0.733210522670029,0
"GSM51064",0.0633705952448831,0
"GSM51065",0.284796986796486,0
"GSM51066",1.0124255622223,1
"GSM51067",0.180104769251381,0
"GSM51068",-0.699475120344245,0
"GSM51069",-0.38587754727052,0
"GSM51070",-0.811635726509094,0
"GSM51071",0.000998663615913341,0
"GSM51072",-1.10385514131259,0
"GSM51073",-0.401811352512881,0
"GSM51074",-0.507310233747299,0
"GSM51075",0.565717518151997,0
"GSM51076",1.43049153695131,1
"GSM51077",0.893537446123332,1
"GSM51078",-1.08381286974544,0
"GSM51079",-0.0362629425998318,0
"GSM51080",-0.12728794727093,0
"GSM51081",-0.0595459971713355,0
"GSM51082",-0.229402719075933,0
"GSM51083",0.0778295751654676,0
"GSM51084",-0.670865383088067,0
"GSM51085",0.554778947022658,0
"GSM51086",1.39262758637991,1
"GSM51087",-0.3104391289036,0
"GSM51088",0.641963743174137,0
"GSM51089",1.05210553677246,1
"GSM51090",-0.307888486963906,0
"GSM51091",1.32886008164546,1
"GSM51092",-0.667377055281963,0
"GSM51093",-1.29045878958832,0
"GSM51094",-0.0743412029490394,0
"GSM51095",0.692889002371873,0
"GSM51096",0.959651535819303,1
"GSM51097",0.313760874211641,0
"GSM51098",0.868321996353125,1
"GSM51099",2.15897183235595,1
"GSM51100",0.544157716527486,0
"GSM51101",1.05803386754966,1
"GSM51102",-0.262501532492901,0
"GSM51103",-1.19669724664358,0
"GSM51104",1.88149795942932,1
"GSM51105",-0.822744350326292,0
"GSM51106",0.778483741253819,0
"GSM51107",0.218044213196259,0
"GSM51108",1.40282646543054,1
"GSM51109",-0.333790216442198,0
"GSM51110",-1.26007440004358,0
"GSM51111",-0.057234062099274,0
"GSM51112",1.51651512144378,1
"GSM51113",0.0357851186823312,0
"GSM51114",-0.397161060621355,0
"GSM51115",0.107685548512343,0
"GSM51116",0.248034239870566,0
"GSM51117",2.59976153854766,1
"GSM51118",-0.189820871396451,0
"GSM51119",-0.695259971331865,0
"GSM51120",0.0294518291155858,0
"GSM51121",-0.195363236794944,0
"GSM51122",-0.0916254771049064,0
"GSM51123",2.37518315663531,1
"GSM51124",0.470785609775219,0
"GSM51125",-0.130191674353254,0
"GSM51126",-0.109931438235213,0
"GSM51127",-0.214115929685791,0
"GSM51128",0.0500848572228393,0
"GSM51129",0.984245270719521,1
"GSM51130",-0.129611107805531,0
"GSM51131",0.215351605030464,0
"GSM51132",1.73085148016746,1
"GSM51133",-1.14004326851797,0
"GSM51134",-0.29409851181872,0
"GSM51135",-0.393506184035149,0
"GSM51136",0.134337537841662,0
